url	realm	nav	surface	layout	kind	tier	reason	children
/blog/systems/layout-generators/	blog/systems	none	plain	1.measure	prose	+renderer	a page class the JSON must name (Post)	0
/blog/systems/	blog/systems	none	plain	1.measure	prose	+renderer	a page class the JSON must name (Section)	0
/blog/systems/panel-playground/	blog/systems	none	plain	1.measure	prose	+renderer	a page class the JSON must name (Post)	0
/castin/framework/	castin/framework	none	plain	1.measure	prose	+renderer	a page class the JSON must name ((other))	0
/castin/	castin	none	plain	1.measure	prose	+renderer	a page class the JSON must name ((other))	0
/castin/root/	castin/root	none	plain	1.measure	prose	+renderer	a page class the JSON must name ((other))	0
/castin/root/trunk/branches/leaves/	castin/root	none	plain	1.measure	prose	+renderer	a page class the JSON must name ((other))	0
/castin/root/trunk/branches/	castin/root	none	plain	1.measure	prose	+renderer	a page class the JSON must name ((other))	0
/castin/root/trunk/	castin/root	none	plain	1.measure	prose	+renderer	a page class the JSON must name ((other))	0
/castin/styles/	castin/styles	none	plain	1.measure	prose	+renderer	a page class the JSON must name ((other))	0
/edric/components/	edric/components	none	plain	1.measure	prose	+renderer	a page class the JSON must name ((other))	0
/edric/framework/app/	edric/framework	none	plain	1.measure	prose	+renderer	a page class the JSON must name ((other))	0
/edric/framework/	edric/framework	none	plain	1.measure	prose	+renderer	a page class the JSON must name ((other))	0
/edric/framework/view/	edric/framework	none	plain	1.measure	demo	code	a live control	0
/edric/	edric	none	plain	1.measure	form	code	a live control	0
/edric/style/buttons/	edric/style	none	plain	1.measure	prose	+renderer	a page class the JSON must name ((other))	0
/edric/style/colors/	edric/style	none	plain	1.measure	prose	+renderer	a page class the JSON must name ((other))	0
/edric/style/css/	edric/style	none	plain	1.measure	prose	+renderer	a page class the JSON must name ((other))	0
/edric/style/example/	edric/style	none	plain	1.measure	form	code	a live control	0
/edric/style/forms/	edric/style	none	plain	1.measure	form	code	a live control	0
/edric/style/layout/	edric/style	none	plain	1.measure	prose	+renderer	a page class the JSON must name ((other))	0
/edric/style/media/	edric/style	none	plain	1.measure	media	+renderer	a page class the JSON must name ((other))	0
/edric/style/	edric/style	none	plain	1.measure	prose	+renderer	a page class the JSON must name ((other))	0
/edric/style/spacing/	edric/style	none	plain	1.measure	prose	+renderer	a page class the JSON must name ((other))	0
/edric/style/tailwind/	edric/style	none	plain	1.measure	prose	+renderer	a page class the JSON must name ((other))	0
/edric/style/typography/	edric/style	none	plain	1.measure	prose	+renderer	a page class the JSON must name ((other))	0
/edric/style/utilities/	edric/style	swap	plain	1.measure	demo	code	a live control	0
/framework/ai/2026-08-08/	framework/ai	top tabs	plain	4.wall	wall	code	content computed from data	0
/framework/ai/2026-08-09/	framework/ai	none	plain	1.measure	prose	config		0
/framework/ai/2026-08-10/	framework/ai	top tabs	plain	4.wall	wall	+renderer	a house factory JSON has no word for	0
/framework/ai/2026-08-11/	framework/ai	left rail	plain	4.wall	wall	+renderer	a house factory JSON has no word for	0
/framework/ai/2026-08-12/apps/columns/	framework/ai	none	plain	1.measure	prose	+renderer	a house factory JSON has no word for	0
/framework/ai/2026-08-12/apps/editor/	framework/ai	none	plain	1.measure	form	code	a live control	0
/framework/ai/2026-08-12/apps/navigation/	framework/ai	none	plain	4.wall	wall	config		0
/framework/ai/2026-08-12/apps/	framework/ai	columns	plain	4.wall	wall	+renderer	a house factory JSON has no word for	4
/framework/ai/2026-08-12/apps/panes/	framework/ai	columns	plain	1.measure	prose	config		1
/framework/ai/2026-08-12/apps/panes/split/	framework/ai	none	plain	1.measure	prose	config		0
/framework/ai/2026-08-12/layouts/	framework/ai	right rail	plain	1.measure	prose	code	content computed from data	0
/framework/ai/2026-08-12/	framework/ai	top tabs	plain	1.measure	prose	+renderer	a house factory JSON has no word for	5
/framework/ai/2026-08-12/stage/	framework/ai	none	plain	1.measure	demo	code	a live control	0
/framework/ai/2026-08-12/strategy/	framework/ai	columns	plain	1.measure	prose	config		-1
/framework/ai/2026-08-12/unify/	framework/ai	columns	plain	1.measure	prose	+renderer	its own stylesheet	-1
/framework/ai/2026-08-13/editor-panels/	framework/ai	none	plain	1.measure	prose	+renderer	a house factory JSON has no word for	0
/framework/ai/2026-08-13/manifest-vs-log/	framework/ai	none	plain	1.measure	prose	code	async / fetch	0
/framework/ai/2026-08-13/	framework/ai	columns	plain	1.measure	prose	+renderer	a house factory JSON has no word for	7
/framework/ai/2026-08-13/panel/	framework/ai	none	plain	1.measure	prose	+renderer	a page class the JSON must name (AITask)	0
/framework/ai/2026-08-13/persistence/	framework/ai	none	plain	1.measure	prose	config		0
/framework/ai/2026-08-13/renames/	framework/ai	none	plain	1.measure	prose	+renderer	a house factory JSON has no word for	0
/framework/ai/2026-08-13/sessions/	framework/ai	none	plain	1.measure	prose	+renderer	a page class the JSON must name (AITask)	0
/framework/ai/2026-08-13/task-previews/	framework/ai	none	plain	1.measure	prose	+renderer	a house factory JSON has no word for	0
/framework/ai/2026-08-14/editor-panel-review/	framework/ai	none	plain	1.measure	prose	+renderer	a page class the JSON must name (AITask)	0
/framework/ai/2026-08-14/	framework/ai	columns	plain	1.measure	prose	+renderer	a house factory JSON has no word for	1
/framework/ai/2026-08-15/layout-overnight/	framework/ai	none	plain	1.measure	prose	+renderer	a house factory JSON has no word for	0
/framework/ai/2026-08-15/	framework/ai	columns	plain	1.measure	prose	+renderer	a house factory JSON has no word for	1
/framework/ai/2026-08-16/	framework/ai	none	plain	1.measure	prose	+renderer	a house factory JSON has no word for	0
/framework/ai/2026-08-17/human-ranking/rank/	framework/ai	none	plain	1.measure	prose	code	async / fetch	0
/framework/ai/2026-08-17/layout-primitives/	framework/ai	none	plain	1.measure	prose	code	content computed from data	0
/framework/ai/2026-08-17/	framework/ai	none	plain	1.measure	prose	+renderer	a house factory JSON has no word for	0
/framework/ai/2026-08-17/report/	framework/ai	none	plain	1.measure	prose	+renderer	a house factory JSON has no word for	0
/framework/ai/2026-08-17/vision-browse/	framework/ai	none	plain	1.measure	prose	code	async / fetch	0
/framework/ai/2026-08-18/	framework/ai	none	plain	1.measure	prose	+renderer	a house factory JSON has no word for	0
/framework/ai/2026-08-18/panel-flex/	framework/ai	none	plain	1.measure	prose	+renderer	a page class the JSON must name (AITask)	0
/framework/ai/2026-08-19/page-layout-audit/	framework/ai	top tabs	plain	4.wall	wall	+renderer	a house factory JSON has no word for	0
/framework/ai/2026-08-19/page-simplify-preview/	framework/ai	none	plain	1.measure	prose	code	content computed from data	0
/framework/ai/2026-08-19/	framework/ai	none	plain	1.measure	prose	+renderer	a house factory JSON has no word for	0
/framework/ai/2026-08-21/	framework/ai	none	plain	1.measure	prose	+renderer	a house factory JSON has no word for	0
/framework/ai/2026-08-21/ui-behaviors-audit/	framework/ai	none	plain	1.measure	form	code	a live control	0
/framework/ai/2026-08-21/ux-system-plan/	framework/ai	none	plain	1.measure	prose	+renderer	a house factory JSON has no word for	0
/framework/ai/2026-08-26/	framework/ai	none	plain	1.measure	prose	+renderer	a house factory JSON has no word for	0
/framework/ai/2026-08-27/	framework/ai	none	plain	1.measure	prose	+renderer	a house factory JSON has no word for	0
/framework/ai/2026-08-28/	framework/ai	none	plain	1.measure	prose	+renderer	a house factory JSON has no word for	0
/framework/ai/2026-08-29/	framework/ai	none	plain	1.measure	prose	+renderer	a house factory JSON has no word for	0
/framework/ai/2026-08-30/	framework/ai	none	plain	1.measure	prose	+renderer	a house factory JSON has no word for	0
/framework/ai/2026-08-31/	framework/ai	none	plain	1.measure	prose	+renderer	a house factory JSON has no word for	0
/framework/ai/2026-09-01/	framework/ai	none	plain	1.measure	prose	+renderer	a house factory JSON has no word for	0
/framework/ai/2026-09-04/	framework/ai	none	plain	1.measure	prose	+renderer	a house factory JSON has no word for	0
/framework/ai/2026-09-05/	framework/ai	none	plain	1.measure	prose	+renderer	a house factory JSON has no word for	0
/framework/ai/	framework/ai	columns	plain	1.measure	prose	config		22
/framework/audit/browsable/	framework/audit	top tabs	plain	1.measure	prose	+renderer	a house factory JSON has no word for	0
/framework/audit/overview/organization/	framework/audit	left rail	plain	1.measure	prose	code	its own state	0
/framework/audit/overview/priorities/	framework/audit	top tabs	plain	1.measure	prose	code	its own state	0
/framework/audit/	framework/audit	left rail	plain	1.measure	prose	code	a class of its own	1
/framework/core/App/	framework/core	right rail	plain	1.measure	prose	code	async / fetch	0
/framework/core/Item/	framework/core	none	plain	1.measure	demo	code	a live control	0
/framework/core/List/	framework/core	none	plain	1.measure	demo	code	a live control	0
/framework/core/new/1/agents/a11y/	framework/core	top tabs	plain	1.measure	prose	code	async / fetch	0
/framework/core/new/1/agents/async/	framework/core	top tabs	plain	1.measure	demo	code	a live control	8
/framework/core/new/1/agents/chrome/	framework/core	top tabs	plain	4.wall	wall	code	content computed from data	0
/framework/core/new/1/agents/content/	framework/core	top tabs	plain	4.wall	demo	code	a live control	0
/framework/core/new/1/agents/eric/	framework/core	top tabs	plain	1.measure	demo	code	a live control	0
/framework/core/new/1/agents/forms/	framework/core	top tabs	plain	1.measure	demo	code	a live control	0
/framework/core/new/1/agents/librarian/	framework/core	top tabs	plain	4.wall	demo	code	a live control	20
/framework/core/new/1/agents/motion/	framework/core	swap	plain	1.measure	prose	code	async / fetch	0
/framework/core/new/1/agents/patterns/	framework/core	none	plain	1.measure	prose	+renderer	a house factory JSON has no word for	0
/framework/core/new/1/agents/perf/	framework/core	top tabs	plain	1.measure	prose	code	async / fetch	0
/framework/core/new/1/agents/steve/	framework/core	columns	plain	4.wall	wall	+renderer	a house factory JSON has no word for	2
/framework/core/new/1/agents/tim/	framework/core	none	plain	1.measure	demo	code	a class of its own	0
/framework/core/new/1/agents/urls/	framework/core	top tabs	plain	4.wall	wall	code	async / fetch	0
/framework/core/new/1/agents/versus/	framework/core	top tabs	plain	1.measure	prose	code	a class of its own	0
/framework/core/new/1/	framework/core	top tabs	plain	1.measure	prose	+renderer	a house factory JSON has no word for	0
/framework/core/new/1/site/a11y/announce/	framework/core	none	plain	1.measure	demo	code	a live control	0
/framework/core/new/1/site/a11y/audit/	framework/core	none	plain	1.measure	demo	code	a live control	0
/framework/core/new/1/site/a11y/current/	framework/core	none	plain	1.measure	demo	code	a live control	0
/framework/core/new/1/site/a11y/focus/	framework/core	top tabs	plain	1.measure	demo	code	a live control	0
/framework/core/new/1/site/a11y/headings/	framework/core	top tabs	plain	1.measure	demo	code	a live control	0
/framework/core/new/1/site/a11y/inert/	framework/core	none	plain	1.measure	prose	+renderer	a house factory JSON has no word for	0
/framework/core/new/1/site/a11y/motion/	framework/core	none	plain	1.measure	demo	code	a live control	0
/framework/core/new/1/site/a11y/	framework/core	columns	plain	4.wall	wall	+renderer	a house factory JSON has no word for	9
/framework/core/new/1/site/a11y/skip/	framework/core	none	plain	1.measure	demo	code	a live control	0
/framework/core/new/1/site/a11y/tabs/	framework/core	top tabs	plain	1.measure	prose	config		0
/framework/core/new/1/site/async/arrangements/	framework/core	none	plain	1.measure	prose	code	async / fetch	0
/framework/core/new/1/site/async/inflight/	framework/core	none	plain	1.measure	prose	code	async / fetch	0
/framework/core/new/1/site/async/marking/	framework/core	top tabs	plain	1.measure	demo	code	a live control	0
/framework/core/new/1/site/async/	framework/core	columns	plain	4.wall	wall	code	async / fetch	8
/framework/core/new/1/site/async/rule/	framework/core	none	plain	1.measure	prose	code	async / fetch	0
/framework/core/new/1/site/async/shapes/	framework/core	none	plain	1.measure	prose	code	async / fetch	0
/framework/core/new/1/site/async/states/	framework/core	none	plain	1.measure	prose	code	async / fetch	0
/framework/core/new/1/site/async/stream/	framework/core	none	plain	1.measure	demo	code	a live control	0
/framework/core/new/1/site/async/trap/	framework/core	none	plain	1.measure	prose	code	async / fetch	0
/framework/core/new/1/site/budget/check/	framework/core	none	plain	1.measure	prose	code	async / fetch	0
/framework/core/new/1/site/budget/ladder/	framework/core	none	plain	1.measure	prose	code	async / fetch	0
/framework/core/new/1/site/budget/	framework/core	columns	plain	1.measure	prose	code	async / fetch	3
/framework/core/new/1/site/budget/source/	framework/core	none	plain	1.measure	demo	code	a live control	0
/framework/core/new/1/site/chrome/crumbs/	framework/core	none	plain	1.measure	demo	code	a live control	0
/framework/core/new/1/site/chrome/drawer/	framework/core	none	plain	1.measure	prose	+renderer	a house factory JSON has no word for	0
/framework/core/new/1/site/chrome/focus/	framework/core	none	plain	1.measure	prose	+renderer	a house factory JSON has no word for	0
/framework/core/new/1/site/chrome/marks/	framework/core	top tabs	plain	1.measure	demo	code	a live control	0
/framework/core/new/1/site/chrome/	framework/core	columns	plain	4.wall	demo	code	a live control	8
/framework/core/new/1/site/chrome/palette/	framework/core	none	plain	1.measure	demo	code	a live control	0
/framework/core/new/1/site/chrome/siblings/	framework/core	columns	plain	1.measure	demo	code	a live control	8
/framework/core/new/1/site/chrome/sidebar/	framework/core	none	plain	1.measure	demo	code	a live control	0
/framework/core/new/1/site/chrome/topbar/	framework/core	none	plain	1.measure	demo	code	a live control	0
/framework/core/new/1/site/columns/child/grandchild/	framework/core	none	plain	1.measure	prose	config		0
/framework/core/new/1/site/columns/child/	framework/core	columns	plain	4.wall	wall	+renderer	a house factory JSON has no word for	-1
/framework/core/new/1/site/columns/	framework/core	columns	plain	4.wall	wall	+renderer	a house factory JSON has no word for	1
/framework/core/new/1/site/compose/component/	framework/core	none	plain	1.measure	prose	+renderer	a house factory JSON has no word for	0
/framework/core/new/1/site/compose/embed/	framework/core	none	plain	1.measure	prose	+renderer	a house factory JSON has no word for	0
/framework/core/new/1/site/compose/fragments/	framework/core	none	plain	1.measure	prose	code	content computed from data	0
/framework/core/new/1/site/compose/labels/api/	framework/core	none	plain	1.measure	prose	+renderer	a house factory JSON has no word for	0
/framework/core/new/1/site/compose/labels/first-run/	framework/core	none	plain	1.measure	prose	+renderer	a house factory JSON has no word for	0
/framework/core/new/1/site/compose/labels/	framework/core	columns	plain	4.wall	wall	code	async / fetch	3
/framework/core/new/1/site/compose/labels/rate-limits/	framework/core	none	plain	1.measure	prose	+renderer	a house factory JSON has no word for	0
/framework/core/new/1/site/compose/limits/	framework/core	none	plain	1.measure	prose	+renderer	a house factory JSON has no word for	0
/framework/core/new/1/site/compose/	framework/core	columns	plain	4.wall	wall	+renderer	a house factory JSON has no word for	7
/framework/core/new/1/site/compose/slots/fixed/	framework/core	footer	plain	1.measure	prose	+renderer	a house factory JSON has no word for	0
/framework/core/new/1/site/compose/slots/	framework/core	columns	plain	1.measure	prose	code	content computed from data	-1
/framework/core/new/1/site/compose/state/	framework/core	none	plain	1.measure	prose	code	content computed from data	0
/framework/core/new/1/site/compound/columns-in-full/left/deeper/	framework/core	none	plain	1.measure	prose	+renderer	a house factory JSON has no word for	0
/framework/core/new/1/site/compound/columns-in-full/left/	framework/core	columns	plain	1.measure	prose	+renderer	a house factory JSON has no word for	1
/framework/core/new/1/site/compound/columns-in-full/	framework/core	columns	plain	1.measure	prose	+renderer	a house factory JSON has no word for	2
/framework/core/new/1/site/compound/columns-in-full/right/	framework/core	none	plain	1.measure	prose	+renderer	a house factory JSON has no word for	0
/framework/core/new/1/site/compound/crumbs/	framework/core	none	plain	1.measure	prose	+renderer	a house factory JSON has no word for	0
/framework/core/new/1/site/compound/drilling-tabs/	framework/core	none	plain	1.measure	prose	+renderer	its own stylesheet	0
/framework/core/new/1/site/compound/master-detail/	framework/core	none	plain	1.measure	prose	code	content computed from data	0
/framework/core/new/1/site/compound/overlay/	framework/core	none	plain	1.measure	prose	+renderer	a house factory JSON has no word for	0
/framework/core/new/1/site/compound/	framework/core	columns	plain	4.wall	wall	code	async / fetch	10
/framework/core/new/1/site/compound/steps/	framework/core	none	plain	1.measure	form	code	a live control	0
/framework/core/new/1/site/compound/tabs-in-a-column/	framework/core	columns	plain	1.measure	prose	config		1
/framework/core/new/1/site/compound/tabs-in-a-column/what/deeper/	framework/core	none	plain	1.measure	prose	+renderer	a house factory JSON has no word for	0
/framework/core/new/1/site/compound/three-layers/left/	framework/core	none	plain	1.measure	prose	config		0
/framework/core/new/1/site/compound/three-layers/	framework/core	top tabs	plain	1.measure	prose	+renderer	a house factory JSON has no word for	2
/framework/core/new/1/site/compound/three-layers/right/	framework/core	top tabs	plain	1.measure	prose	+renderer	a house factory JSON has no word for	0
/framework/core/new/1/site/compound/tree-from-route/	framework/core	columns	plain	1.measure	prose	code	content computed from data	-1
/framework/core/new/1/site/compound/two-bars/	framework/core	none	plain	1.measure	form	code	a live control	0
/framework/core/new/1/site/content/article/	framework/core	none	plain	1.measure	prose	code	async / fetch	0
/framework/core/new/1/site/content/blog/2026-04-02-a-post-that-outgrew-markdown/	framework/core	columns	plain	1.measure	prose	code	content computed from data	1
/framework/core/new/1/site/content/blog/	framework/core	columns	plain	1.measure	prose	code	content computed from data	1
/framework/core/new/1/site/content/book/	framework/core	none	plain	1.measure	prose	code	content computed from data	0
/framework/core/new/1/site/content/index/	framework/core	top tabs	plain	4.wall	wall	code	async / fetch	0
/framework/core/new/1/site/content/order/	framework/core	none	plain	1.measure	prose	code	content computed from data	0
/framework/core/new/1/site/content/	framework/core	columns	plain	4.wall	wall	code	content computed from data	8
/framework/core/new/1/site/content/search/	framework/core	none	plain	4.wall	demo	code	a live control	0
/framework/core/new/1/site/content/tags/	framework/core	none	plain	1.measure	prose	+renderer	a house factory JSON has no word for	0
/framework/core/new/1/site/content/toc/	framework/core	none	plain	1.measure	prose	+renderer	a house factory JSON has no word for	0
/framework/core/new/1/site/council/a11y/	framework/core	none	plain	1.measure	prose	config		0
/framework/core/new/1/site/council/async/	framework/core	none	plain	1.measure	prose	config		0
/framework/core/new/1/site/council/chrome/	framework/core	none	plain	1.measure	prose	config		0
/framework/core/new/1/site/council/content/	framework/core	none	plain	1.measure	prose	config		0
/framework/core/new/1/site/council/eric/	framework/core	none	plain	1.measure	prose	config		0
/framework/core/new/1/site/council/forms/	framework/core	none	plain	1.measure	prose	config		0
/framework/core/new/1/site/council/librarian/	framework/core	none	plain	1.measure	prose	config		0
/framework/core/new/1/site/council/motion/	framework/core	none	plain	1.measure	prose	config		0
/framework/core/new/1/site/council/	framework/core	columns	plain	4.wall	demo	code	a live control	14
/framework/core/new/1/site/council/patterns/	framework/core	none	plain	1.measure	prose	config		0
/framework/core/new/1/site/council/perf/	framework/core	none	plain	1.measure	prose	config		0
/framework/core/new/1/site/council/steve/	framework/core	none	plain	1.measure	prose	config		0
/framework/core/new/1/site/council/tim/	framework/core	none	plain	1.measure	prose	config		0
/framework/core/new/1/site/council/urls/	framework/core	none	plain	1.measure	prose	config		0
/framework/core/new/1/site/council/versus/	framework/core	none	plain	1.measure	prose	config		0
/framework/core/new/1/site/deep/alias/	framework/core	columns	plain	1.measure	prose	code	a class of its own	1
/framework/core/new/1/site/deep/alias/view/	framework/core	none	plain	1.measure	prose	config		0
/framework/core/new/1/site/deep/chrome/	framework/core	columns	plain	1.measure	prose	code	content computed from data	1
/framework/core/new/1/site/deep/chrome/sealed/	framework/core	none	plain	1.measure	prose	code	a class of its own	0
/framework/core/new/1/site/deep/edges/	framework/core	none	plain	1.measure	prose	+renderer	its own stylesheet	0
/framework/core/new/1/site/deep/errors/badimport/	framework/core	none	plain	1.measure	prose	config		0
/framework/core/new/1/site/deep/errors/boom/	framework/core	none	plain	1.measure	prose	config		0
/framework/core/new/1/site/deep/errors/	framework/core	columns	plain	1.measure	prose	code	a class of its own	3
/framework/core/new/1/site/deep/gap/eager/	framework/core	none	plain	1.measure	prose	config		0
/framework/core/new/1/site/deep/gap/	framework/core	columns	plain	1.measure	prose	code	a class of its own	-1
/framework/core/new/1/site/deep/history/	framework/core	none	plain	1.measure	demo	code	a live control	0
/framework/core/new/1/site/deep/nav/	framework/core	top tabs	plain	4.wall	wall	code	content computed from data	0
/framework/core/new/1/site/deep/nesting/a/b/c/d/e/	framework/core	none	plain	1.measure	prose	code	content computed from data	0
/framework/core/new/1/site/deep/nesting/a/b/c/d/e2/	framework/core	none	plain	1.measure	prose	code	content computed from data	0
/framework/core/new/1/site/deep/nesting/a/b/c/d/	framework/core	columns	plain	1.measure	prose	+renderer	a house factory JSON has no word for	2
/framework/core/new/1/site/deep/nesting/a/b/c/	framework/core	columns	plain	1.measure	prose	+renderer	a house factory JSON has no word for	1
/framework/core/new/1/site/deep/nesting/a/b/	framework/core	columns	plain	1.measure	prose	+renderer	a house factory JSON has no word for	1
/framework/core/new/1/site/deep/nesting/a/	framework/core	columns	plain	1.measure	prose	+renderer	a house factory JSON has no word for	1
/framework/core/new/1/site/deep/nesting/	framework/core	columns	plain	1.measure	prose	code	async / fetch	1
/framework/core/new/1/site/deep/orphan/lonely/	framework/core	none	plain	1.measure	prose	config		0
/framework/core/new/1/site/deep/orphan/	framework/core	columns	plain	1.measure	prose	code	a class of its own	1
/framework/core/new/1/site/deep/orphan/region/inner/	framework/core	none	plain	1.measure	prose	config		0
/framework/core/new/1/site/deep/orphan/region/	framework/core	columns	plain	1.measure	prose	config		1
/framework/core/new/1/site/deep/	framework/core	columns	plain	4.wall	wall	code	content computed from data	12
/framework/core/new/1/site/deep/race/	framework/core	none	plain	1.measure	prose	code	content computed from data	0
/framework/core/new/1/site/deep/scale/	framework/core	none	plain	1.measure	prose	code	content computed from data	0
/framework/core/new/1/site/deep/state/	framework/core	none	plain	1.measure	prose	config		0
/framework/core/new/1/site/dynamic/	framework/core	none	plain	1.measure	prose	code	content computed from data	0
/framework/core/new/1/site/forms/autosave/	framework/core	none	plain	1.measure	demo	code	a live control	0
/framework/core/new/1/site/forms/exit/	framework/core	none	plain	1.measure	demo	code	a live control	0
/framework/core/new/1/site/forms/guard/	framework/core	none	plain	1.measure	demo	code	a live control	0
/framework/core/new/1/site/forms/optimistic/	framework/core	none	plain	1.measure	demo	code	a live control	0
/framework/core/new/1/site/forms/	framework/core	columns	plain	4.wall	demo	code	a live control	8
/framework/core/new/1/site/forms/submit/	framework/core	none	plain	1.measure	prose	config		0
/framework/core/new/1/site/forms/survives/	framework/core	top tabs	plain	1.measure	demo	code	a live control	0
/framework/core/new/1/site/forms/unload/	framework/core	none	plain	1.measure	demo	code	a live control	0
/framework/core/new/1/site/forms/wizard/	framework/core	none	plain	1.measure	demo	code	a live control	0
/framework/core/new/1/site/full/left/deeper/	framework/core	none	plain	1.measure	prose	config		0
/framework/core/new/1/site/full/left/	framework/core	columns	plain	1.measure	prose	config		1
/framework/core/new/1/site/full/	framework/core	columns	plain	1.measure	prose	+renderer	a house factory JSON has no word for	2
/framework/core/new/1/site/full/right/	framework/core	none	plain	1.measure	prose	config		0
/framework/core/new/1/site/kit/	framework/core	top tabs	plain	1.measure	prose	code	content computed from data	0
/framework/core/new/1/site/library/	framework/core	none	plain	1.measure	prose	code	content computed from data	0
/framework/core/new/1/site/motion/arrangements/	framework/core	none	plain	1.measure	prose	+renderer	a house factory JSON has no word for	0
/framework/core/new/1/site/motion/baseline/	framework/core	none	plain	1.measure	prose	code	async / fetch	0
/framework/core/new/1/site/motion/direction/	framework/core	none	plain	1.measure	prose	+renderer	a house factory JSON has no word for	0
/framework/core/new/1/site/motion/discrete/	framework/core	none	plain	1.measure	prose	code	content computed from data	0
/framework/core/new/1/site/motion/head-start/	framework/core	columns	plain	1.measure	prose	code	async / fetch	1
/framework/core/new/1/site/motion/head-start/slow/	framework/core	none	plain	1.measure	prose	config		0
/framework/core/new/1/site/motion/	framework/core	columns	plain	4.wall	wall	code	content computed from data	8
/framework/core/new/1/site/motion/reduced/	framework/core	none	plain	1.measure	prose	+renderer	a house factory JSON has no word for	0
/framework/core/new/1/site/motion/release/	framework/core	none	plain	1.measure	prose	+renderer	a house factory JSON has no word for	0
/framework/core/new/1/site/motion/view-transitions/	framework/core	none	plain	1.measure	prose	+renderer	a house factory JSON has no word for	0
/framework/core/new/1/site/mutation/autosave/	framework/core	none	plain	1.measure	demo	code	a live control	0
/framework/core/new/1/site/mutation/concurrent/	framework/core	none	plain	1.measure	demo	code	a live control	0
/framework/core/new/1/site/mutation/outliving/	framework/core	none	plain	1.measure	demo	code	a live control	0
/framework/core/new/1/site/mutation/	framework/core	columns	plain	4.wall	wall	code	its own state	5
/framework/core/new/1/site/mutation/recovery/	framework/core	none	plain	1.measure	demo	code	a live control	0
/framework/core/new/1/site/mutation/undo/	framework/core	none	plain	1.measure	demo	code	a live control	0
/framework/core/new/1/site/nav/cards/one/	framework/core	none	plain	1.measure	prose	+renderer	a house factory JSON has no word for	0
/framework/core/new/1/site/nav/cards/	framework/core	columns	plain	4.wall	wall	code	async / fetch	2
/framework/core/new/1/site/nav/cards/two/	framework/core	none	plain	1.measure	prose	+renderer	a house factory JSON has no word for	0
/framework/core/new/1/site/nav/chain/	framework/core	none	plain	1.measure	prose	code	content computed from data	0
/framework/core/new/1/site/nav/children/eager/	framework/core	columns	plain	1.measure	prose	+renderer	a house factory JSON has no word for	-1
/framework/core/new/1/site/nav/children/lazy/	framework/core	none	plain	1.measure	prose	+renderer	a house factory JSON has no word for	0
